timestamp,source_file,cluster,category,alpha,muon,electron,gamma,other
2025-11-04T10:28:10.258626,5min_beta_SrY_3cm_ground_source_r1.t3pa,1,electron,0,0,1,0,0
2025-11-04T10:28:10.626033,5min_beta_SrY_3cm_ground_source_r1.t3pa,2,electron,0,0,2,0,0
